symbol,name,market,status,last_updated
9634,Adeer Real Estate Co.,TASI,active,2026-09-23
9635,Dkhoun National Trading Co.,TASI,active,2026-09-23
9636,Al Kuzama Trading Company,TASI,active,2026-09-23
9637,Axelerated Solutions for Information & Communication Tech,TASI,active,2026-09-23
9639,Anmat Technology for Trading Co.,TASI,active,2026-09-23
9640,ASAS Makeen Real Estate Development and Investment Company,TASI,active,2026-09-23
9641,Hawyia Auctions Co.,TASI,active,2026-09-23
9642,Time Entertainment Co.,TASI,active,2026-09-23
9644,Naf Company for Feed for Industry,TASI,active,2026-09-23
9645,National Signage Industria Co.,TASI,active,2026-09-23
9647,Wajd Life Trading Co.,TASI,active,2026-09-23
9648,Hamad Mohammed Bin Saedan Real Estate Co.,TASI,active,2026-09-23
9649,Jamjoom Fashion Trading Co.,TASI,active,2026-09-23
9650,Sahat Almajd Trading Co.,TASI,active,2026-09-23
9651,Abdulaziz Altwijri Trading Co.,TASI,active,2026-09-23
9653,Khaled Dhafer & Bros for Logistic Services Co.,TASI,active,2026-09-23
9655,MSGA Investment Company,TASI,active,2026-09-23
